A,B,C,label
-3779.791242,1267.792433,-39.41887983,-352166.5101
-2781.344713,234.1031945,-155.7420364,-80207.09005
-791.5262287,121.5209847,-122.514534,-161.951528
-591.7285961,695.1678602,-108.9674346,-84.57104464
1463.130504,969.4761364,-52.73099917,4831.796683
3960.115054,982.8087002,-332.8976116,459334.5317
-163.4685906,-629.5271258,-209.673946,-22.5631202
-3764.548904,571.2914209,-123.5713065,-351857.5282
2195.806947,-141.3935882,-181.7830176,21467.91442
-3338.630086,38.99644008,-125.0820427,-200173.0635
3794.054829,88.34409321,-133.511758,355580.5503
-2361.242767,309.3380825,-236.593365,-36525.37177
2021.033903,739.0021863,-95.73815148,17952.709
-705.1455941,-67.24438446,-91.55611587,-96.71497159
-682.5362474,500.2333361,-94.06087852,-92.29685611
-4865.531792,387.8205481,-137.911674,-1280149.948
5447.507597,969.354689,-190.4257708,2310454.232
-2611.040599,45.96650863,-165.9653277,-60023.62734
-4022.321293,-171.1454247,-274.7360822,-534699.1176
2922.141997,202.6764926,-107.8252225,97714.91675
1021.423337,622.3828236,-137.5257759,660.7223613
1131.07859,-260.863302,-213.8200267,687.5744918
-327.188237,286.1740496,-146.7288066,-3.225435367
-1448.77478,754.55138,-119.9628136,-3280.390465
-673.7542457,-920.1868721,-270.7122844,-536.8404532
-990.0653509,1429.292344,-119.0689815,-1730.521313
-1636.752751,837.8486642,-196.3427328,-6178.452603
-565.4436675,289.3799344,-190.6102238,-35.71944147
-1909.739083,323.9376627,-118.3104734,-12120.48716
-1476.004583,402.8215271,-91.35750067,-3325.100551
1713.826647,944.4622608,-125.2520695,8958.178073
-318.5403959,-482.1493434,-219.7289811,-23.74605724
7507.434941,30.5745418,-126.3540648,10933168.28
1734.10317,846.8652128,-99.03650627,9128.803876
-1069.316836,264.3184533,-152.2398348,-712.0654621
380.6246275,803.2456264,-33.67088029,62.47091195
708.4918642,-149.6225007,-199.438727,59.48319579
-1829.285363,-139.3290496,-107.0748275,-10438.45177
7306.186584,246.7618769,-117.0863387,9643661.345
548.8946306,-823.2102518,-153.4358897,79.78305737
-1460.301262,213.4883581,-141.5758717,-3285.039919
317.302178,461.6002423,-74.18037356,6.947088301
-2335.4198,1156.010874,-153.2758869,-34812.93723
2732.351264,137.7276818,-162.6562322,67682.60642
-993.9053717,353.7365455,-84.55637987,-473.218058
1223.270991,1023.70775,-76.62723614,2404.767036
2336.199358,492.1362398,-170.4639943,32597.27511
-1864.872381,-34.03132221,-105.399233,-11211.42588
-200.3763364,-51.78348392,-76.43958388,-0.2690870377
-1752.438236,917.1527217,-160.4501863,-8560.436116
800.2739962,1004.329928,-39.86300993,588.2421221
-189.0021544,-357.4244021,-225.957625,-5.671965596
420.5585665,1251.146678,-95.41681554,336.0412554
-6412.933648,-784.1367474,-206.1833791,-5484048.438
-3014.512505,9.940976695,-36.08536835,-117329.7839
1411.82481,-318.7237363,-121.6117697,2317.837144
384.490749,-1033.10736,-133.7463933,82.91273627
-1691.1307,-463.5353957,-74.26411231,-7717.909948
2409.455539,-763.0518122,-163.4404291,34435.39112
1884.042416,609.9969026,-39.34836447,12674.99336
-2583.490151,560.1924098,-74.98049413,-53060.17138
6225.383904,139.7204896,-219.3337113,4227759.5
-3214.151231,741.1153099,-224.5994996,-164010.0327
-3175.253113,899.1255726,-280.0890122,-156783.5474
1788.825332,-953.9187931,-151.7946199,8292.820464
1696.93067,594.5937519,-170.2390207,6933.947074
-1243.374426,4.125802099,-85.23512315,-1484.202143
2464.265324,243.2266622,47.86918902,44839.99308
-1852.01378,-93.95776529,-188.1276844,-11494.45893
-4740.050977,1247.088524,-67.1144834,-1088197.69
-2848.247152,222.5642885,-37.79692456,-86729.11691
-101.9494931,1838.407542,-193.4659083,-86.25898302
-3160.059585,242.3224823,60.81193441,-141169.8945
-1548.183161,961.9077706,-187.2267679,-4991.894865
1088.698074,725.9615634,-102.2914877,1025.600826
2308.215966,-542.8658733,-71.10297213,28565.61045
3010.627787,-591.9289368,-97.92321912,107718.7757
-251.725751,-416.6263412,-173.2461499,-8.996720413
3307.316166,392.8795877,-162.5733103,182534.3498
-2702.37365,440.3261114,-88.0698024,-66959.4483
1378.747688,1035.107495,-122.6427973,3742.964805
-1392.550344,204.2809443,-152.0866384,-2620.036016
3449.688582,1950.29425,-191.8337018,307331.2918
-4297.054721,1564.6212,-19.74186479,-668968.2779
-2279.214229,18.31692662,-110.0010058,-30044.92766
-383.4722421,173.0618447,-151.1710803,-5.297751977
1056.628594,-1971.326017,-226.7314619,4250.302574
-5068.187954,187.3752615,-125.0389024,-1581062.479
2256.022389,-384.9046515,-112.393667,25064.23741
-3302.848111,516.6720126,-197.5078072,-187495.5862
-1185.923808,1143.98391,-78.79184969,-1863.547391
1932.04683,1155.588715,-71.42648963,17983.26634
926.5933439,597.3223418,-186.6453147,386.697805
-3743.839419,1494.610682,-139.9924086,-348194.5519
-4696.959039,1164.900676,-103.2689536,-1046647.892
-657.2843818,-364.5668705,-46.21386662,-90.01254251
7706.306624,261.6900696,-209.7573562,12440865.13
-126.1349937,218.7713185,-103.5700587,-0.1083027727
252.2463077,321.645052,-184.9987053,1.141398464
-5494.020892,-152.3203115,-93.02629113,-2395819.032
-1367.298533,-320.1346314,-176.3238824,-2869.424505
-68.35977856,1232.596796,-199.2889248,-14.29428809
-3270.049375,211.1527538,-115.8935732,-177415.218
313.2794996,1040.473981,-104.4289004,113.8529606
-3161.098554,-142.1051809,-52.28778195,-151943.7893
3868.663551,18.59739923,-261.3406288,376475.3425
1046.031748,-1102.09687,-126.9103876,1017.850223
-1141.279405,-811.6631514,-112.8143357,-1777.393931
-5237.739891,204.2939501,-150.980277,-1870609.049
-994.1660168,655.4425989,-82.28786211,-546.9626374
-4681.542281,-1004.271338,-115.8005132,-1182863.032
199.307905,1106.278698,-98.20826343,94.16084674
-1970.800764,72.27037362,-141.380648,-14738.30283
-6357.821885,-441.7592427,-95.14814601,-5039413.252
-3774.965746,457.2271147,-86.39605628,-355041.1246
2348.208537,31.60375096,-65.4327321,32446.73108
-5172.916832,715.5237735,-101.8731099,-1705551.287
3834.973407,644.013379,-181.4775586,391948.529
-495.9313236,-539.7164051,-90.09149904,-54.20287939
1702.686403,39.43555789,-182.2808127,5984.107273
802.1249868,118.5121886,-234.5188147,114.8622248
3268.598159,-1197.82511,-212.8001288,160232.0223
-2890.256834,536.1722655,-178.4749361,-96040.37501
6003.574774,1383.911137,-93.8255594,3950768.729
2825.245849,524.611363,-196.9977654,83583.29429
1702.432493,953.569352,-126.9492832,8727.978688
4468.393849,-1174.968647,-142.168519,776673.0499
1655.136471,429.5057283,-136.2280416,5909.2223
-2738.207797,-990.9092269,-80.41824174,-89857.35539
-678.6243279,144.3871982,-202.6955554,-84.79462084
883.1769821,2693.169487,-205.870219,15044.77287
-716.5482027,352.4851294,-194.6707297,-110.246217
6918.623707,398.0756817,-231.4171796,7266372.439
1752.742381,-224.8866419,-145.0012222,6890.074663
6564.949292,559.3582657,-203.6793495,5662362.05
3238.131944,-1818.913736,-160.6610685,169051.238
-4259.262969,21.00655778,-198.1919773,-684223.5065
734.0918003,1107.45628,53.93689802,692.9324505
1484.583196,-156.4826172,-225.8913641,2796.902012
-4760.871703,410.0597652,-89.09754575,-1135795.003
-1374.278413,204.1728698,-323.0559153,-2758.276685
2425.95357,165.8060754,-47.99187687,39247.81921
-1153.656112,-1265.238099,-38.62619616,-3072.646847
690.7069406,682.1226811,-85.88346416,161.5258301
-1156.397554,867.3594933,-176.2070652,-1321.791603
2287.808305,-809.5312887,-73.47927196,27648.88278
-6217.108202,1182.596363,-205.0155179,-4305010.514
-1693.306494,933.5369987,-81.49963755,-7089.076138
-4793.091366,303.8078857,-103.3456562,-1184207.65
1610.92108,-381.3444802,-74.45470865,4661.130497
-3475.732881,1049.591034,-254.0589764,-243457.4492
2967.061014,-66.0559241,-151.874001,100931.5706
-5530.983394,963.1319096,-223.8513188,-2419605.186
517.6657196,556.8635991,-112.5737981,39.88249432
-1421.719921,10.08272012,-166.1023497,-3042.587576
3095.473839,-281.0757424,-249.7170648,119236.9791
-2034.600815,-340.3476174,-186.5403667,-19265.90044
-1143.96735,374.1459421,-195.3097639,-1022.499062
-887.7919824,500.0231307,-144.8425186,-307.1350708
-1684.542948,539.9067448,-149.7767206,-6608.927243
-739.3408716,-634.8404807,-216.7297869,-327.7907826
-7576.234065,-792.2981225,108.5614992,-11897951.25
-953.0901543,834.624872,-109.8420156,-567.9453404
-169.0683792,-487.9754215,-48.54764637,-4.388166658
5970.938778,433.5390056,-130.3091381,3542674.904
6454.657981,651.7629143,4.827741536,5421724.929
-20.03303497,611.4908318,-188.2684345,0.457540811
325.7314634,111.5353756,-335.9543024,-0.2258197497
-4229.379049,-571.7479083,-81.66860731,-678693.5164
-155.4736343,648.5319211,-234.4029565,-5.491301098
344.2110896,182.9983162,-31.74357204,2.804153418
-4616.68599,140.536807,-61.08428656,-981928.5227
11.09593172,1593.252544,-106.3448194,135.3226446
570.8997679,952.7781045,-184.9547611,184.1020408
6798.11311,-209.0450552,-82.8075025,6622772.407
2901.64998,261.4960889,-268.7353896,89322.52536
476.4798054,684.1486087,-138.6589061,48.70884384
-3357.735707,1381.63788,-78.18784118,-200407.6784
-1853.880848,1113.795044,-154.3700763,-11804.52948
-287.993902,-939.7527472,-237.3251371,-152.2254537
2829.988657,125.0507246,-149.5276278,81096.20805
-2560.677471,1293.56021,-123.6751356,-54699.8326
3695.470582,-364.0715788,-59.09367443,308464.1621
3237.589399,250.0904943,-181.478402,160194.9576
4825.679967,334.0310527,-249.3453821,1180769.355
-1940.175844,545.9328406,-80.46902897,-12821.35862
1113.33056,660.7824305,-141.4718519,1009.066482
235.8441552,-764.7695461,-146.6217011,9.772216583
-6050.146477,706.1017524,-174.8683731,-3779262.308
3597.355722,-777.7084819,-28.18400195,268415.597
1147.269465,-54.89724681,-265.4119669,708.6511955
-4236.405387,-161.3916727,-241.4360105,-683646.5777
-1459.525864,-225.8029769,-184.4513172,-3777.373341
4846.428713,-624.7104237,-63.18594666,1194243.313
-1833.326032,-100.2856281,-129.8414555,-10596.77001
5057.454362,-737.3706119,-85.5117574,1469039.744
1877.327928,1620.978919,-47.76595113,22362.00882
-396.4009991,253.3055246,-136.8085555,-6.458903265
3281.788035,894.0833446,-143.2322656,191203.7298
-288.5244187,-541.1915704,-158.951303,-20.72636837
-4862.950741,-211.2737617,-118.9017616,-1319438.143
-2576.779604,334.9576475,-94.07246733,-53228.34396
-161.8702441,688.8078162,-140.8800291,-7.992040388
1541.087387,1212.023973,-222.2802911,6376.744878
1745.82363,1593.513142,-111.4001604,15940.29153
-688.7212923,541.4248216,-100.5277245,-102.4384934
-1788.61004,554.2543742,-37.07077848,-8402.582186
-1539.270208,871.6126277,-124.6680856,-4548.201431
460.3422542,450.8774668,-187.1888332,15.21866633
-15.412879,1466.347899,-5.274890678,96.03886048
-3868.021553,1993.722524,-84.67106343,-423642.6792
1457.002526,-9.169508502,-85.55633259,2871.130488
41.9596225,-586.2342693,-160.8694362,-3.893504463
3235.443247,744.1193376,-58.72531546,179022.2541
-1372.680716,557.8777539,-165.1516463,-2471.297588
-50.50400925,43.49653468,-159.8385832,-0.03866382023
-721.6346807,929.6365348,34.21389551,-250.0905214
3127.292917,798.5531537,-120.9244922,149596.9188
545.3846342,-1017.629823,-156.8912492,147.2404523
-1852.119382,586.6863528,-37.06209733,-10005.8922
-2381.524634,-743.108213,-181.6159853,-45618.81577
754.4683041,191.3048579,-149.2968754,100.3623419
1484.107347,-1230.573966,-260.9227311,4008.261056
-4518.504957,7.179551578,-82.75920863,-894088.5252
-18.43317291,-373.5462955,-99.52397394,-0.6818790867
-1915.955763,-82.31427925,-119.5612313,-13032.46579
-1500.932229,-451.8909582,-144.6013118,-4609.685783
-3629.651113,1309.035668,-40.75353176,-289093.673
-60.26807233,1436.024893,-78.01090098,11.30004362
-4733.96752,236.2934922,14.17216311,-1089355.909
3484.894943,1443.096081,-273.6600385,273021.2145
4307.65945,93.24540273,-95.82967116,679818.2413
360.7592698,718.5473815,-149.7298781,32.10706106
2189.591266,355.1112622,-118.1836568,23536.84725
1965.764459,1271.442174,-237.9195397,18532.9705
816.985583,562.5522769,-182.1224754,211.3456553
1252.527391,-344.969649,-153.4177043,1232.710863
-1816.348605,469.0095742,-124.6586231,-9436.795738
-205.4374637,-1097.778387,-213.7864973,-191.6851926
-3376.187387,-25.35058621,-116.5659963,-212366.0616
1420.410662,-504.0785134,-132.0399298,2412.819514
514.5188703,206.4099472,-103.9887354,16.1601959
-344.6957885,477.4199977,-242.1354848,-9.400508689
-365.0572843,647.5681851,-150.2380567,-22.29134517
-4537.94648,-88.15100854,-264.8475969,-958830.6117
3275.400715,2098.476193,-115.5576326,264862.5667
3409.106783,1701.856126,-95.40168276,281198.2851
2066.872966,632.4467333,-35.76214287,19984.61577
-3007.366412,-55.2857803,-112.9984541,-119912.4832
1344.600323,172.8497423,-134.1914214,1921.11753
-836.0046522,1165.776068,-141.35042,-691.922974
1809.841512,26.12337264,-94.87074452,8598.730186
2598.472846,1187.49668,-53.75477472,70260.35748
-3537.362313,-468.970812,-255.9153765,-294126.6078
750.428709,1239.26526,-24.52232571,888.9294218
-908.2810198,1486.601327,-60.67857244,-1554.011105
926.8514844,292.1518234,-221.0586368,275.4542259
692.0810333,-319.9760736,-211.1293819,55.22009112
-2007.932981,592.5669543,-245.7868443,-16331.93251
3877.442699,-545.0913042,-250.8534753,371338.7525
836.9663925,581.1509729,-114.1582754,269.3659379
711.2169614,474.8395138,-62.63945356,123.1574858
-918.6095655,876.2108342,-141.1103861,-535.051312
1175.319382,14.76520791,-47.9505941,1005.05895
2076.036563,257.9174943,-132.9321729,17531.89087
-5826.855699,1382.21212,-110.730278,-3066931.792
-693.4533478,979.194102,10.02229814,-260.5188816
418.8732154,472.040339,-237.5444231,11.15980915
-3086.540861,1465.023332,-177.5550717,-138268.5422
652.1741899,-7.446747727,-170.3561946,40.77750565
-1370.494309,249.0111472,-103.8803391,-2333.211211
-906.1640936,59.08482413,-51.05752452,-295.8991181
-1452.781135,49.54606866,-70.76169173,-3137.216469
-4549.485248,465.7369183,-243.1821101,-933066.3188
1940.948225,530.5755424,-169.9874199,13126.0183
-178.0547681,-870.4067697,-121.386978,-53.91135047
1169.188293,112.8181168,-135.1044433,926.3199739
-2251.106058,-15.19814502,-176.0467314,-29260.74204
-1432.112616,-554.6969013,-121.2096429,-3843.308659
-3200.553267,-673.335211,-13.28345992,-172092.9552
287.214432,-431.4293352,-87.66491688,3.075605303
2048.507249,946.3093945,-123.3431589,20423.56914
-322.8977496,718.8993732,-110.727964,-24.64494871
1072.017356,-637.8310388,-177.6155672,622.1025325
-1721.712607,-1129.571969,-129.7989851,-12554.39102
-699.632409,314.0688053,-144.5694262,-91.90102873
-723.451328,-958.7639819,-254.2452959,-669.3980808
1788.617102,864.3091339,-164.2108796,10138.36073
1363.584342,-372.2285141,-185.0124328,1859.638987
345.4021185,538.1271551,-201.085752,10.64828981
-3107.602858,694.5931685,-74.48126197,-132967.1186
-6166.635588,1345.081068,-179.1908264,-4111102.245
-5105.492213,805.1057673,-182.6069595,-1617540.665
-3796.301858,-411.0937681,-145.3886749,-398782.1453
6116.378339,240.6926849,-250.9048791,3867370.635
-1892.621715,682.9473358,-129.583593,-11695.50653
2516.578099,973.9348808,-183.935692,52865.88088
-1049.645591,1290.787262,-85.74925,-1565.151317
4218.677825,-578.4059835,-155.7947478,582315.8733
-1866.853113,1327.938881,-149.3356554,-13345.58239
2403.385901,71.65596266,-113.4188616,35878.90252
5261.549194,-142.2384646,-201.5408121,1791886.4
3668.405798,932.5356401,-227.7410761,322838.4621
6853.371948,-442.4133811,-85.3394393,6837697.588
-1464.084031,-684.7208804,-78.89430458,-4431.056002
821.5986802,1341.748859,-111.2097568,1227.726292
-530.0421361,-240.8168413,-235.6673889,-46.19351315
1378.694081,-22.90680914,-163.4467276,2035.662144
-1863.177336,485.8228035,-272.2833313,-11465.83099
-712.3109032,893.9105386,-217.95404,-254.4890593
-892.2970988,524.5666954,-197.7326731,-332.5652449
-435.5045917,786.5771105,-104.4729134,-55.34201617
1793.174284,71.32526653,-66.928047,8411.585992
1025.969832,-68.37987829,-130.8772498,455.4119236
455.3965879,-1155.524296,-70.96125677,183.1252966
161.4309096,79.44095588,-130.271988,0.01620194793
-6674.227335,-188.1185548,-93.49303913,-6320415.787
-4670.424157,168.7397251,-235.7684362,-1078593.668
1466.131607,-726.8612681,-187.202552,2889.189676
-1719.090563,-55.71288794,-48.07557254,-7281.425794
216.805344,74.46448937,-192.9636452,0.02826319527
-4631.597352,1023.597671,-106.9221776,-977122.863
5166.45751,229.753875,-106.1896045,1703110.157
2864.17653,-206.2329018,-112.7133928,84683.98814
2718.459805,440.531945,-172.1182636,68679.61394
299.6983707,1289.181114,11.90496231,306.7094309
424.5739487,1729.52129,-153.6417466,1177.004712
-2995.460252,791.6613899,-121.2577817,-112295.7171
3637.63383,637.3858371,-103.5021684,308656.1731
1588.061914,478.8223526,-77.03524757,5137.135186
942.0768279,1330.376643,-154.6618178,1571.02626
535.3664557,-30.53785486,-122.1189585,15.72236253
4759.769374,529.706343,-140.0270627,1148484.813
1244.892539,1882.960132,-131.2572705,8077.370594
-948.2496975,-580.8244498,-159.3028986,-685.0600029
-1130.467477,313.4327794,-60.36097143,-869.9626434
-610.0089798,760.7581785,-264.8795851,-120.1792701
-1366.94125,-45.8093865,-130.6819059,-2484.382666
-2931.62489,1300.321187,-148.9237881,-105062.9653
-2515.666169,-198.9205256,-173.2290392,-51979.70185
-1636.066794,1522.056259,-203.6544033,-9146.341142
-3250.912909,850.2041325,-160.2020514,-170386.4628
-2909.578762,-141.2930499,-209.5580031,-106562.0346
284.8547756,1062.682316,-98.39402057,112.5543745
177.7790084,601.0714705,-144.9505193,6.602129938
1908.42185,152.3210883,-124.9761476,11292.18163
2176.947457,-899.9223707,-69.26254617,21921.72838
3017.160529,665.7217063,-73.98553004,124655.5439
856.3588538,585.704431,-271.8897997,234.4837181
-11.45779273,26.80476662,-140.6416146,-0.01543919377
3836.792566,-281.6300761,-35.71709936,376501.1126
-2763.905234,-315.9342827,-211.0294634,-85257.82936
-2727.535894,630.376823,-108.830309,-70255.20273
130.8853024,-108.9860371,-254.0755769,-0.1933167661
4646.331309,1204.082913,-96.50923668,1108824.772
-3021.129001,-405.9835802,-349.3254135,-140289.7458
-2868.037162,2220.792985,-185.3663925,-120595.9633
-207.855501,-152.2115784,-110.4928568,-0.6910730255
-4409.872392,320.7527313,-124.5905265,-784148.3654
1100.091278,-968.7971118,-32.02599218,1074.060257
4484.479598,298.5422768,-45.40132427,855468.5489
-620.795252,-2047.92721,-178.6236206,-4810.990884
-1143.771077,1199.385766,-112.3828845,-1794.517739
-1954.989892,-14.01877718,-48.2133294,-13683.1912
-2378.390396,449.95712,-153.9015336,-36325.04536
1595.668227,-48.69855412,-75.59702048,4549.448897
1770.704756,-464.7982062,-95.92421754,7431.249824
4831.152176,180.3268518,-143.9132358,1202726.957
3498.781301,549.6899308,-365.7611798,230631.7304
3506.583724,589.0906229,7.950800738,265120.3448
-1044.230047,2.401594779,-162.5701194,-677.7139799
-49.46684889,-643.0599644,-87.59701605,-6.832915458
731.2889053,-371.8687859,-86.10260319,90.63238986
20.72422788,387.2011312,-111.8582498,0.2196676931
-988.3599952,-167.6086973,-97.32844066,-525.7339837
1076.010931,238.9169926,-140.562371,634.0410004
4092.457457,1574.54629,-157.5012102,626926.8689
1342.026822,1770.383102,-63.4762309,8779.588993
2753.345296,369.5492622,-160.2609608,72721.97703
-2262.623647,1175.813446,-156.9057727,-30153.75349
-1610.706689,606.4643321,-177.9605468,-5419.586395
-1543.213895,960.8211708,-93.71497754,-4717.090934
2686.365184,918.7255295,-37.54630133,76306.11677
3343.490606,1557.862877,-129.7308989,244022.1771
1457.978441,-429.2153703,-401.9261059,2236.056641
679.8896592,-444.7630753,-180.0271921,60.84945996
-659.2154409,82.63929659,-121.8304271,-67.17413501
-551.67023,770.2454187,-70.39950094,-85.60490571
-1356.75703,32.07352055,-144.7863033,-2369.914691
903.6980262,-17.39487499,-198.3562488,219.0473694
-2018.114289,-136.196159,-122.3732054,-17034.81807
-1459.354588,937.6403501,-163.2179227,-3750.758977
-162.7152209,46.23217689,-108.073649,-0.1019133713
2964.613309,757.0794009,-172.7517385,111874.6715
-368.2068645,-806.4541324,-129.1783884,-89.13834034
-3689.671651,299.3774402,-183.6475461,-327754.4781
4368.074381,-329.8935048,-159.3834753,700191.9999
-1484.33852,-515.9308073,-131.148519,-4472.389744
2816.368464,685.9582455,-256.6455086,82647.01424
-569.0326417,447.5949469,-163.2213108,-42.72268573
-310.1043799,653.1655132,-141.7241315,-16.93822108
2943.505618,-145.8997696,-100.6460095,98071.59441
-3337.529629,1266.525691,-257.8404089,-201614.4041
-3765.848047,234.443599,-225.1712349,-368344.8041
-7175.12988,67.08639541,-129.4710996,-9003109.606
-2131.011237,839.027105,-216.3943614,-21888.53617
-2781.0026,117.1073531,-9.400025711,-76862.74458
2594.871549,354.4852197,-224.5551255,52390.53177
-63.96830475,562.8208797,-96.34149006,-1.076268337
-1808.506341,-402.9235699,-152.9715403,-10955.58135
1826.373927,385.9078157,-100.3177544,9727.549261
-1481.033933,-838.0528844,-73.29786111,-5150.074837
165.8693893,1323.50988,-178.4404508,160.461963
3959.178935,-21.06792238,-173.1176359,432322.7492
2756.830006,338.1177673,-204.0275977,71526.15431
310.4512437,1191.456767,-193.653402,180.6886472
36.812564,92.925463,-152.8918976,-0.01298802286
550.7502208,-228.498705,-177.8136174,16.85954319
2360.549062,719.5393481,-104.6341087,37545.91104
-480.6237962,204.6614603,-37.68730421,-12.65052721
4056.838619,722.2648914,-224.4876125,516939.899
1669.077278,686.249268,-107.7416044,6989.261769
-1935.848504,122.5495382,-214.1773618,-13894.39042
981.439587,1136.921966,-203.5138042,1146.996877
906.0845109,1030.325535,-79.38714564,848.1614015
4355.560604,-527.6040148,-194.2848254,679315.565
-5814.220311,238.0916854,-116.7303875,-3123598.413
-4346.425505,-283.1675207,-235.4300356,-783227.6773
91.18266737,-817.2238339,-54.57132136,1.453588611
-3950.87774,1309.636516,-40.6275697,-439089.6658
3031.591143,-742.7485117,-176.3176963,108804.4593
-1511.85662,356.3472416,-106.6008738,-3778.037372
66.6013176,-518.8959816,-45.71309007,0.2068366318
-478.5363327,722.9857621,-202.4658877,-55.29588604
-1343.819174,571.2184077,-92.60559462,-2144.330262
-3761.611305,1500.629295,-82.72213903,-351983.4359
-896.8305091,1338.371632,-211.3028737,-1190.818347
3143.509063,182.8628036,-273.3897494,132670.0191
2428.283544,594.2818561,-108.4493849,41667.97303
510.3508868,855.2749195,-165.8786449,106.4582698
1718.593973,-442.6747025,-200.814706,6018.623728
2374.372567,1307.115598,-155.6081068,46147.27447
-2756.748009,-1123.907438,-154.0225606,-99688.80728
-654.787236,-83.40491555,-48.88335752,-63.89666059
-315.782019,1821.219034,-185.7600214,-678.8865244
-8298.812102,72.95995963,-119.2821881,-18567654.22
800.5276796,-38.09116479,-177.7137977,118.5560237
2529.045504,-733.4529779,-160.7023923,43888.62598
2452.848231,1212.255303,-120.3688969,52510.75166
-2888.892998,301.6915284,-62.49499243,-93359.30314
7931.149843,599.8258605,-148.7362274,14714626.03
-854.6852204,-242.4409686,-151.4190079,-300.2315815
1906.799473,-341.1121674,-200.4819759,10221.94573
95.91699421,1132.181602,-174.9661955,53.86081229
-4564.869878,-209.3845519,-32.64660102,-945062.839
-1093.859661,728.0752992,-119.033962,-902.0849039
2700.110724,-124.5380493,-86.35240322,63895.35773
-3174.779613,865.4266728,-145.6706627,-150938.8113
-3564.159183,-394.3562318,-69.40757154,-285265.6859
-1433.715443,257.4808104,-178.7061479,-3057.658417
-3290.32546,-982.1400733,-99.57444935,-215228.8081
-3088.433739,-149.0700357,-96.78126646,-137567.5825
-1010.939513,874.6531741,-171.6071016,-774.8407468
-382.4646907,-979.2063213,-203.9646332,-214.6668075
-2873.889994,248.8124676,-133.5147829,-93541.48978
997.0830804,-588.7708287,-141.4693488,441.0856657
-1767.451802,1183.952302,-116.169722,-9687.55583
1826.451547,1143.69315,-234.8689649,12405.46314
-1206.893094,614.8620863,-113.3543064,-1319.687434
-4739.774451,279.1880922,-66.36090821,-1112565.677
-4059.491962,-629.0895233,-126.2404479,-565655.7082
-3406.144542,-850.7943068,-210.1378191,-257166.4356
-2349.359819,434.7304954,-179.0682804,-34539.11732
2870.7265,-218.4075425,-161.9610658,84098.67838
-3526.320588,446.0500159,-132.8648145,-255922.8733
2644.978432,-275.5005297,-146.413371,55631.19078
2223.956228,551.3213275,-90.54203588,27025.80903
3286.94603,685.7103069,-134.3850762,186435.7226
-1253.23892,1412.478317,-200.615438,-3301.74169
5860.793799,1306.368207,-147.7353935,3448840.203
218.23185,-43.68659544,-192.2300788,0.02442050977
-2239.111194,172.3050416,-49.56389462,-26277.79189
-996.9717257,999.9694177,-172.4651618,-872.4737688
6481.935079,-510.345657,-142.0070956,5110263.013
875.0865664,224.6324376,-172.5335818,211.2050045
963.8395576,432.9494616,-145.546283,414.0413004
1708.016018,1091.46987,-195.3406163,9176.648475
7738.400773,971.6640998,-208.2848415,13161798.84
